Name,Team,POS,ADP,IP,mERA,mWHIP,mSO,mQS,mSVHLD,PTS,aPOS,Dollars,NameASCII,PlayerId,MLBAMID
Zak Kent ,MIN,RP,999,43.6375,-3.060146796,-4.776688602,-5.454536075,-3.54164989,-3.442367913,-20.27538928,10.53333333,-8.742055943,Zak Kent,25703,687849
Cole Henry ,WSN,RP,734.9199829,62.2452,-7.577105521,-8.704193552,-3.971656161,-3.54164989,3.50951747,-20.28508766,10.53333333,-8.751754322,Cole Henry,27570,669371
Jaden Hill ,COL,RP,999,39.1021,-3.607979987,-3.891456596,-5.724910793,-3.54164989,-3.52312745,-20.28912472,10.53333333,-8.755791384,Jaden Hill,30250,677955
Johan Oviedo ,BOS,SP,523.460022,93.3076,-6.744362441,-7.590689047,-1.434382307,-0.313295592,-4.245001229,-20.32773062,10.53333333,-8.794397284,Johan Oviedo,22487,670912
Kyle Harrison ,MIL,SP,475.1799927,97.1454,-7.419511928,-7.438735887,-0.721875656,-0.731379362,-4.024898424,-20.33640126,10.53333333,-8.803067924,Kyle Harrison,27758,690986
Peyton Pallette ,CLE,RP,999,41.5272,-3.869953334,-4.256594109,-5.604333286,-3.54164989,-3.133987767,-20.40651839,10.53333333,-8.873185053,Peyton Pallette,sa3020742,688883
Brandon Pfaadt ,ARI,SP,599.9199829,162.719,-15.48223135,-7.523947996,3.076872277,3.968100776,-4.486521931,-20.44772823,10.53333333,-8.914394892,Brandon Pfaadt,27782,694297
Patrick Sandoval ,BOS,SP,999,70.662,-3.832261773,-8.01036451,-3.304371038,-1.03303198,-4.292073218,-20.47210252,10.53333333,-8.938769186,Patrick Sandoval,19447,663776
Jordan Hicks ,CHW,SP/RP,999,58.6348,-4.363736572,-7.038195228,-4.449429916,-3.335188795,-1.360922114,-20.54747262,10.53333333,-9.014139291,Jordan Hicks,19618,663855
George Soriano ,STL,RP,999,41.909,-4.230040885,-3.98488957,-5.693572475,-3.54164989,-3.149054056,-20.59920688,10.53333333,-9.065873544,George Soriano,21863,666277
Beau Brieske ,DET,RP,999,42.8186,-4.249189104,-4.637840989,-5.783537506,-3.54164989,-2.388160523,-20.60037801,10.53333333,-9.06704468,Beau Brieske,26079,689225
