Avail,Player,ERA,K,QS,SHD,WHIP,Rank,CBS Salary,Contract Status,Dollars
Free Agent,Irv Carter,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Ryan Weiss,3.91,42,4,1,1.22,745,0.0,FA,-7.78
Free Agent,David Festa,5.14,45,1,1,1.26,822,0.0,FA,-4.7
Free Agent,Cole Phillips,0.0,0,0,0,0.0,9999,0.0,FA,-7.69108704866969
Free Agent,Stephen Landazuri,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Seth Hernandez,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Ethan Bagwell,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Joshua Torres,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Caleb Boushley,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Max Bain,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Luis De La Torre,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Cohen Achen,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Luis Devers,0.0,0,0,0,0.0,9999,0.0,FA,-18.1217365303414
Free Agent,Osvaldo Berrios,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Tejay Antone,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Grayson Moore,0.0,0,0,0,0.0,9999,0.0,FA,0.653935809232842
Free Agent,Keylan Killgore,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Hiro Wyatt,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Moises Rodriguez,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Michael Lorenzen,4.94,125,11,0,1.39,779,0.0,FA,-34.73
Free Agent,Haylen Green,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Alec Baker,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Hunter Dula,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Alexis Lara,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Fernery Ozuna,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Victor Mateo,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Michael Baumann,0.0,0,0,0,0.0,9999,0.0,FA,-10.1278964265117
Free Agent,Myles Smith,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Caden Scarborough,0.0,0,0,0,0.0,9999,0.0,FA,-5.21703987599857
Free Agent,Tyler DeLoach,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Jacob Waguespack,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Kelly Secrest,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Mac Marshall,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Brennan Bernardino,4.76,64,0,8,1.82,885,0.0,FA,-11.05
Free Agent,Robinson Pina,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Edwuin Bencomo,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Matt Mullenbach,0.0,0,0,0,0.0,9999,0.0,FA,0.0
